a;8.167;7.636;6.516;11.525;14.634;11.745;7.486
b;1.492;0.901;1.886;2.215;1.043;0.927;1.584
c;2.782;3.260;2.732;4.019;3.882;4.501;1.242
d;4.253;3.669;5.076;5.010;4.992;3.736;5.933
e;12.702;14.715;16.396;12.181;12.570;11.792;18.91
f;2.228;1.066;1.656;0.692;1.023;1.153;0.805
g;2.015;0.866;3.009;1.768;1.303;1.644;3.403
h;6.094;0.737;4.577;0.703;0.781;0.636;2.380
i;6.966;7.529;6.550;6.247;6.186;10.143;6.499
j;0.153;0.613;0.268;0.493;0.397;0.011;1.46
k;0.772;0.074;1.417;0.011;0.015;0.009;2.248
l;4.025;5.456;3.437;4.967;2.779;6.510;3.568
m;2.406;2.968;2.534;3.157;4.738;2.512;2.213
n;6.749;7.095;9.776;6.712;4.446;6.883;10.032
o;7.507;5.796;2.594;8.683;9.735;9.832;6.063
p;1.929;2.521;0.670;2.510;2.523;3.056;1.57
q;0.095;1.362;0.018;0.877;1.204;0.505;0.009
r;5.987;6.693;7.003;6.871;6.530;6.367;6.411
s;6.327;7.948;7.270;7.977;6.805;4.981;3.73
t;9.056;7.244;6.154;4.632;4.336;5.623;6.79
u;2.758;6.311;4.166;2.927;3.639;3.011;1.99
v;0.978;1.838;0.846;1.138;1.575;2.097;2.85
w;2.360;0.049;1.921;0.017;0.037;0.033;1.52
x;0.150;0.427;0.034;0.215;0.253;0.003;0.036
y;1.974;0.128;0.039;1.008;0.006;0.020;0.035
z;0.074;0.326;1.134;0.467;0.470;1.181;1.39
à;0;0.486;0;0;0.072;0.635;0
â;0;0.051;0;0;0.562;0;0
á;0;0;0;0.502;0.118;0;0
å;0;0;0;0;0;0;0
ä;0;0;0.578;0;0;0;0
ã;0;0;0;0;0.733;0;0
?;0;0;0;0;0;0;0
æ;0;0;0;0;0;0;0
œ;0;0.018;0;0;0;0;0
ç;0;0.085;0;0;0.530;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
ð;0;0;0;0;0;0;0
è;0;0.271;0;0;0;0.263;0
é;0;1.504;0;0.433;0.337;0;0
ê;0;0.218;0;0;0.450;0;0
ë;0;0.008;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
î;0;0.045;0;0;0;0;0
ì;0;0;0;0;0;0.030;0
í;0;0;0;0.725;0.132;0.030;0
ï;0;0.005;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
ñ;0;0;0;0.311;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
ò;0;0;0;0;0;0.002;0
ö;0;0;0.443;0;0;0;0
ô;0;0.023;0;0;0.635;0;0
ó;0;0;0;0.827;0.296;0;0
õ;0;0;0;0;0.040;0;0
ø;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
š;0;0;0;0;0;0;0
ß;0;0;0.307;0;0;0;0
?;0;0;0;0;0;0;0
þ;0;0;0;0;0;0;0
ù;0;0.058;0;0;0;0.166;0
ú;0;0;0;0.168;0.207;0.166;0
û;0;0.060;0;0;0;0;0
?;0;0;0;0;0;0;0
ü;0;0;0.995;0.012;0.026;0;0
?;0;0;0;0;0;0;0
ý;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
?;0;0;0;0;0;0;0
ž;0;0;0;0;0;0;0
